2015-08-24 10:22:02,102 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 38 (took 2ms)
2015-08-24 10:22:02,135 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-24 10:22:02,137 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2015-08-24 10:22:02,138 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-24 10:22:02,140 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
2015-08-24 10:22:02,953 [13] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D11] Initializing Examine and binding to business logic events
2015-08-24 10:22:03,066 [13] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D11] Adding examine event handlers for index providers: 3
2015-08-24 10:22:03,077 [13] INFO  Umbraco.Core.CoreBootManager - [T1/D11] Umbraco application startup complete (took 1262ms)
2015-08-24 10:22:03,226 [13] INFO  Umbraco.Web.UmbracoModule - [T27/D11] Setting OriginalRequestUrl: localhost:8964/umbraco
2015-08-24 10:22:03,313 [13] INFO  umbraco.content - [T27/D11] Load Xml from file...
2015-08-24 10:22:03,315 [13] INFO  umbraco.content - [T27/D11] Loaded Xml from file.
2015-08-24 10:22:03,417 [13] INFO  Umbraco.Core.PluginManager - [T27/D11] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-08-24 10:22:03,422 [13] INFO  Umbraco.Core.PluginManager - [T27/D11] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 4ms)
2015-08-24 10:22:04,034 [13] INFO  Umbraco.Core.PluginManager - [T27/D11] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-08-24 10:22:04,039 [13] INFO  Umbraco.Core.PluginManager - [T27/D11] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 4ms)
2015-08-24 10:23:05,636 [13] INFO  umbraco.BusinessLogic.Log - [T8/D11] Log scrubbed.  Removed all items older than 2015-06-25 10:23:05
2015-08-24 10:30:19,802 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [XmlCacheFilePersister] Terminating
2015-08-24 10:30:19,802 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [XmlCacheFilePersister] Waiting for tasks to complete
2015-08-24 10:30:19,803 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [ScheduledPublishing] Terminating
2015-08-24 10:30:19,803 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [ScheduledPublishing] Waiting for tasks to complete
2015-08-24 10:30:19,804 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [ScheduledPublishing] Tasks completed, terminated
2015-08-24 10:30:19,804 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [ScheduledTasks] Terminating
2015-08-24 10:30:19,804 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [ScheduledTasks] Waiting for tasks to complete
2015-08-24 10:30:19,804 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [ScheduledTasks] Tasks completed, terminated
2015-08-24 10:30:19,813 [13] INFO  umbraco.content - [T31/D11] Save Xml to file...
2015-08-24 10:30:19,820 [13] INFO  umbraco.content - [T52/D11] Saved Xml to file.
2015-08-24 10:30:19,820 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T52/D11] [XmlCacheFilePersister] Tasks completed, terminated
2015-08-24 10:30:19,924 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [LogScrubber] Terminating
2015-08-24 10:30:19,924 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [LogScrubber] Waiting for tasks to complete
2015-08-24 10:30:19,924 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T58/D11] [LogScrubber] Tasks completed, terminated
2015-08-24 10:30:19,926 [13] INFO  Umbraco.Core.UmbracoApplicationBase - [T46/D11] Application shutdown. Reason: HostingEnvironment
2015-08-24 10:32:09,114 [6] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application starting
2015-08-24 10:32:09,185 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Determining hash of code files on disk
2015-08-24 10:32:09,195 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Hash determined (took 7ms)
2015-08-24 10:32:09,202 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-24 10:32:09,230 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 26ms)
2015-08-24 10:32:09,318 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-24 10:32:09,320 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
2015-08-24 10:32:09,320 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-24 10:32:09,321 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-08-24 10:32:09,347 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-24 10:32:09,347 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 7 (took 0ms)
2015-08-24 10:32:09,347 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-08-24 10:32:09,351 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 38 (took 3ms)
2015-08-24 10:32:09,397 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-24 10:32:09,397 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-08-24 10:32:09,397 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-24 10:32:09,398 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-08-24 10:32:10,281 [6] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Initializing Examine and binding to business logic events
2015-08-24 10:32:10,404 [6] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Adding examine event handlers for index providers: 3
2015-08-24 10:32:10,417 [6] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application startup complete (took 1270ms)
2015-08-24 10:32:10,786 [6] INFO  Umbraco.Web.UmbracoModule - [T7/D2] Setting OriginalRequestUrl: localhost:8964/umbraco
2015-08-24 10:32:10,882 [6] INFO  umbraco.content - [T7/D2] Load Xml from file...
2015-08-24 10:32:10,886 [6] INFO  umbraco.content - [T7/D2] Loaded Xml from file.
2015-08-24 10:32:10,990 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-08-24 10:32:10,991 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 0ms)
